epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
127,0.000570294465992728,0.7491457,0.74924994,0.13365049206263183,0.0014922618543964923,0.7745525,0.7748361,0.12608182167305665
128,0.0010462215733793457,0.74913174,0.74925035,0.13327232318998172,8.797485041166665e-05,0.77483404,0.77483404,0.12599669232526245
129,0.0013476687704370256,0.74896127,0.74924976,0.13411738321999248,0.00013174139512831982,0.77483404,0.77483404,0.12652954787892454
130,0.0011289885725912106,0.7490516,0.74925005,0.13358454231715558,0.001542383913870957,0.7739085,0.77483475,0.12508801316075466
131,0.0017213459193566752,0.74908173,0.7492503,0.13335271440569732,0.001763715427042311,0.77408886,0.77483404,0.12765744142234325
132,0.0011988622988500094,0.7488274,0.74924994,0.13378904904208042,0.0014099850337406183,0.7739841,0.77483404,0.126959843780188
133,0.001153323036749021,0.7491793,0.74925035,0.13368723465018714,0.006497465310157707,0.7731342,0.7748354,0.1266656374449239
134,0.0012150577782867244,0.74902636,0.74925053,0.13346940687308642,0.0009332129000464109,0.7742328,0.77483404,0.12415743487722733
135,0.0011519095976725623,0.74893284,0.74925035,0.13317528364575462,0.0003125261859208698,0.7744796,0.77483404,0.12669499678646817
136,0.002170161957666805,0.74884915,0.74925035,0.1340589824915919,0.0022655563006943364,0.77428013,0.77483404,0.12628067854572744
137,0.0013189652746848416,0.749072,0.74925005,0.13267376652567198,0.00035396977917667217,0.7746118,0.77483404,0.1288679781205514
138,0.001735612299933276,0.7489857,0.74925023,0.13375482050738982,0.00021402412960924648,0.77449876,0.77483404,0.12602758889689164
139,0.0012903568930367165,0.748947,0.74925005,0.13375629399539224,0.0024507847684361967,0.7735368,0.77483404,0.12744416438919656
140,0.0011644227716004559,0.7491239,0.74925005,0.1336013064195482,0.008385090908955702,0.77100796,0.7748354,0.12761367101441412
141,0.0018439825743137835,0.74890924,0.74925005,0.13427038212609016,0.001394622463327184,0.77449876,0.77483404,0.12440115235307637
142,0.0005474110301041452,0.74919856,0.74924994,0.13287116981894764,0.013517222715862998,0.7738866,0.77510536,0.12622845731675625
143,0.0026290999072744836,0.7489962,0.7492519,0.13412320682939316,0.00024942005850901397,0.77456254,0.77483404,0.12878119594910564
144,0.0018489809129376444,0.7490484,0.7492279,0.13385743455998353,0.0014983974215993846,0.77478755,0.7748354,0.12502550487132633
145,0.0006228727256658689,0.7491971,0.74925005,0.1330777882322336,0.002637809865774125,0.77465,0.7748354,0.12480003288125291
146,0.0015185410604186436,0.74880874,0.74925005,0.1334402533309744,0.0002151731687502416,0.77483404,0.77483404,0.12504255431978142
147,0.0017594530651639435,0.7488122,0.74925005,0.1329238802465974,0.003281631010600952,0.77361333,0.77483404,0.12741289528853753
148,0.0016737654296495154,0.74890786,0.74925035,0.1331481658391013,0.0032407360535559415,0.77397406,0.77483475,0.1257344697985579
